Information/Notes: 
Molecues,1butanal,1butanol,1butene,1pentene,2butanone,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2butenalZ(crotonaldehyde),2buteneE,2buteneZ,2methylbut1ene,2methylbut2ene,2pentanone,2penteneE,2penteneZ,3methylbut1ene,3pentanone,13butadiene,acetaldehyde,aceticacid,acetone,butane,carbon dioxide,carbon monoxide,diatomicHydrogen,diethylether,ethane,ethanol,ethene,ethylacetate,hexane,isobutene,methane,pentane,propane,propene,water,
40,300,23,641,679,0,725,2700,1451,641,581,399,379,110,459,399,380,30,350,109,80,128,190,0,0,0,0,0,0,0,10,320,1021,0,320,280,2913,0,
41,6055,8767,9999,4389,100,3119,9999,1181,9999,9999,2429,3369,1380,2779,2359,2162,199,20,509,359,278,2853,0,0,0,609,0,137,0,30,7016,9999,0,5759,1341,9999,0,
42,1191,4328,330,9999,300,813,3000,1762,340,340,3039,3129,600,3709,4049,2742,179,0,1279,1309,961,1211,0,0,0,119,0,474,0,460,4094,360,0,6119,601,7036,0,
43,7867,6842,10,409,9999,4112,400,360,10,10,219,679,9999,199,189,350,159,0,4749,9999,9999,9999,0,0,0,829,0,1144,0,9999,8127,10,0,9999,2312,230,0,
44,9999,496,0,10,300,1078,0,520,0,0,20,20,290,70,60,10,10,0,8259,249,246,330,9999,0,0,199,0,71,0,290,270,0,0,380,2742,10,0,
45,350,771,0,0,0,308,0,180,0,0,0,10,70,20,0,0,10,0,279,9039,0,10,120,0,0,4459,0,5149,0,1461,0,0,0,0,90,0,0,
46,40,60,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,109,0,0,40,0,0,109,0,2163,0,40,0,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,30,0,73,0,10,0,0,0,0,0,0,0,
48,10,0,30,0,0,46,100,0,20,20,0,0,0,0,0,10,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,
49,50,0,160,30,0,228,400,160,150,140,40,40,10,30,30,30,0,811,0,0,0,20,0,0,0,0,0,0,0,0,0,120,0,20,0,0,0,
50,120,0,510,129,0,670,500,420,621,581,199,229,50,169,159,220,30,2682,0,0,0,110,0,0,0,0,0,0,0,0,0,490,0,130,0,0,0,
51,80,0,420,179,0,598,400,0,601,571,229,289,40,209,209,330,30,2532,0,0,0,100,0,0,0,0,0,0,0,0,0,450,0,160,0,0,0,
52,20,0,130,60,0,213,200,160,200,190,80,109,10,90,80,120,0,1141,0,0,0,30,0,0,0,0,0,0,0,0,0,130,0,50,0,0,0,
53,250,0,540,539,0,1350,300,100,811,831,809,939,80,839,709,841,80,7086,0,0,0,90,0,0,0,0,0,0,0,0,170,510,0,210,0,0,0,
54,230,0,240,159,0,913,100,0,360,400,239,289,10,319,259,280,10,9519,0,0,0,20,0,0,0,0,0,0,0,0,60,230,0,60,0,0,0,
55,300,2795,1812,6529,0,870,500,0,2202,2592,9999,9999,90,9999,9999,9999,129,430,0,10,0,100,0,0,0,0,0,0,0,10,661,1601,0,540,0,0,0,
56,40,9999,3883,289,0,46,0,0,4784,5715,459,539,20,479,439,460,369,10,0,0,0,80,0,0,0,0,0,0,0,10,4534,4454,0,410,0,0,0,
57,2582,760,170,0,800,9999,0,0,210,250,20,259,60,30,10,10,9999,0,0,20,47,250,0,0,0,30,0,0,0,10,9999,200,0,1990,0,0,0,
58,110,24,10,0,0,324,0,0,10,10,0,20,980,0,0,0,339,0,0,0,2484,1221,0,0,0,20,0,0,0,10,440,10,0,90,0,0,0,
59,10,17,0,0,0,34,0,0,0,0,0,0,30,0,0,0,30,0,0,0,93,50,0,0,0,6709,0,0,0,20,0,0,0,0,0,0,0,
60,100,0,0,10,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,7479,0,0,0,0,0,219,0,0,0,90,0,0,0,0,0,0,0,
61,0,0,0,40,0,0,0,0,0,0,30,40,10,50,50,0,10,0,0,199,0,0,0,0,0,10,0,0,0,1531,0,0,0,20,0,0,0,
62,0,0,0,50,0,0,0,0,0,0,40,60,10,60,60,30,10,0,0,20,0,0,0,0,0,0,0,0,0,40,0,0,0,30,0,0,0,
63,0,0,0,40,0,0,0,0,0,0,40,60,10,70,60,30,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,
64,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,0,0,60,0,0,0,0,0,0,50,60,10,80,60,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,
66,0,0,0,20,0,0,100,0,0,0,20,30,0,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,0,0,0,139,0,0,100,0,0,0,139,319,20,269,199,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,
68,10,0,0,30,0,32,500,260,0,0,20,70,10,60,30,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,60,0,0,189,0,181,6500,4594,0,0,299,459,20,299,259,250,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,
70,20,3,0,3949,0,138,8200,9999,0,0,3809,4429,0,3829,3829,2752,20,0,0,0,0,0,0,0,0,0,0,0,0,1181,70,0,0,10,0,0,0,
71,721,12,0,219,100,696,800,671,0,0,209,269,970,249,219,150,40,0,0,0,0,0,0,0,0,0,0,0,0,50,500,0,0,80,0,0,0,
72,7347,0,0,0,2500,2559,100,0,0,0,10,30,40,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,30,0,0,1290,0,0,0,
73,470,152,0,0,100,110,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,490,0,0,0,70,0,0,0,
74,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4399,0,0,0,20,0,0,0,0,0,0,0,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,
85,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,
86,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,
87,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,
88,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,
