Information/Notes: 
Molecues,1butanal,1butanol,1butene,1pentene,2butanone,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2butenalZ(crotonaldehyde),2buteneE,2buteneZ,2methylbut1ene,2methylbut2ene,2pentanone,2penteneE,2penteneZ,3methylbut1ene,3pentanone,13butadiene,acetaldehyde,aceticacid,acetone,butane,carbon dioxide,carbon monoxide,diatomicHydrogen,diethylether,ethane,ethanol,ethene,ethylacetate,hexane,isobutene,methane,pentane,propane,propene,water,
Electron number,40.000000,42.000000,32.000000,40.000000,40.000000,40.000000,38.000000,38.000000,32.000000,32.000000,40.000000,40.000000,48.000000,40.000000,40.000000,40.000000,48.000000,30.000000,24.000000,32.000000,32.000000,34.000000,22.000000,14.000000,2.000000,42.000000,18.000000,26.000000,16.000000,48.000000,50.000000,32.000000,10.000000,42.000000,26.000000,24.000000,10.000000,
Molecular Weight,72.110000,74.120000,56.110000,70.130000,72.110000,72.110000,70.090000,70.090000,56.106300,56.110000,70.130000,70.130000,86.130000,70.130000,70.130000,70.130000,86.130000,54.090000,44.050000,60.050000,58.080000,58.120000,44.010000,28.010000,2.020000,74.120000,30.070000,46.070000,28.050000,88.110000,86.180000,56.110000,16.040000,72.150000,44.100000,42.080000,18.020000,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,320,0,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,10,30,0,0,0,27,0,0,20,10,0,0,0,0,0,10,0,40,90,60,0,10,871,470,0,0,40,20,50,0,10,30,380,0,30,90,0,
13,30,85,0,0,0,54,0,0,20,10,0,0,0,0,0,20,0,30,299,209,89,20,0,0,0,10,100,139,90,0,10,40,1069,0,60,140,0,
14,160,305,0,20,0,226,0,180,80,20,20,20,20,10,10,80,30,50,1089,489,455,80,0,0,0,70,300,145,210,110,60,150,2042,10,220,340,0,
15,540,1046,220,129,400,604,0,621,380,110,129,119,170,119,119,510,60,30,3649,1709,1201,601,0,0,0,319,440,664,30,520,581,460,8879,90,721,550,0,
16,20,36,10,0,0,54,0,0,10,10,0,0,0,0,0,20,0,10,569,239,85,10,961,170,0,0,10,0,0,10,20,10,9999,0,40,20,90,
17,30,21,0,0,0,61,0,180,0,0,0,0,0,0,0,0,10,0,30,99,0,0,0,0,0,0,0,70,0,10,0,0,164,0,0,0,2122,
18,150,29,0,0,0,66,0,230,0,0,0,0,0,0,0,0,30,0,109,279,0,0,0,0,0,40,0,55,0,20,0,0,0,0,0,0,9999,
19,20,448,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,99,0,279,0,10,0,0,0,0,70,220,50,
20,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,180,30,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,10,0,10,0,0,30,0,0,10,10,0,0,0,0,0,0,0,20,70,20,0,10,0,0,0,0,50,61,230,0,0,10,0,0,10,30,0,
25,60,0,90,10,0,202,500,230,90,50,10,0,10,10,10,10,10,250,239,40,129,20,0,0,0,10,350,246,781,10,0,40,0,10,50,180,0,
26,631,1360,821,249,100,1087,1800,981,1131,671,159,179,120,199,189,370,249,1541,549,50,496,581,0,0,0,309,2322,985,5295,110,390,510,0,210,911,1051,0,
27,5895,5703,2512,1829,800,4090,4900,2052,3513,2192,1469,1559,770,1439,1349,2973,1239,4944,359,10,707,3873,0,0,0,1939,3323,2241,6236,540,4544,2172,0,1890,4194,3873,0,
28,1491,1967,2702,239,300,1414,0,0,3243,2472,189,209,40,109,99,480,429,3413,329,409,121,3213,981,9999,0,509,9999,345,9999,220,1071,2182,0,280,5875,140,0,
29,5385,3846,1251,2099,1700,7263,3900,1942,1982,1361,2279,2089,160,2199,2009,2592,5939,80,9999,849,362,4334,10,120,0,4269,2152,2985,230,1241,6065,1091,0,1360,9999,0,0,
30,120,2,40,40,0,372,200,0,70,60,60,40,10,50,40,60,139,0,119,40,0,100,0,0,0,129,2622,812,10,70,130,60,0,30,220,0,0,
31,280,9812,0,50,0,2899,200,2082,0,0,60,0,20,90,80,20,40,0,30,249,45,0,0,0,0,9999,50,9999,0,90,0,0,0,0,0,0,0,
32,0,216,0,0,0,126,0,100,0,0,0,0,0,0,20,10,20,0,0,10,0,0,0,0,0,109,0,0,0,0,10,0,0,0,0,0,0,
33,0,907,0,0,0,0,100,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,20,0,31,0,0,0,0,0,0,0,0,0,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,30,0,20,0,0,108,400,100,10,10,0,10,0,10,10,10,0,90,0,0,70,0,0,0,0,0,0,0,0,0,0,20,0,0,30,180,0,
37,270,259,260,109,0,681,1800,1051,230,160,99,109,60,119,119,90,20,440,0,0,251,70,0,0,0,0,0,0,0,0,0,340,0,80,300,1271,0,
38,460,635,430,279,0,1208,2900,1551,420,330,269,239,130,239,259,250,30,581,0,0,281,190,0,0,0,0,0,0,0,0,0,631,0,210,530,1942,0,
39,2312,2543,3393,2719,200,5234,9700,8738,3593,3143,2539,2379,780,2279,2179,2662,179,9999,0,0,463,1361,0,0,0,20,0,0,0,10,1972,4494,0,1930,1892,7257,0,
